Streetname,Street Range (FROM - TO),Postcode,Area
Αγασίου,,3115,Λεμεσός
Αγγαίου,,3045,Λεμεσός
Αγγαίου,,4154,Κάτω Πολεμίδια
Αγγαστίνας,,4108,'Αγιος Αθανάσιος
Αγγελόκτιστης,,4105,'Αγιος Αθανάσιος
Άγγελου Βλάχου,,3083,Λεμεσός
Άγγελου Βλάχου,,4194,Ύψωνας
Άγγελου Σικελιανού,,3085,Λεμεσός
Άγγελου Σικελιανού,,4044,Γερμασόγεια
Άγγελου Σικελιανού,,4153,Κάτω Πολεμίδια
Άγγελου Σικελιανού,,4191,Ύψωνας
Άγγελου Τερζάκη,,4049,Γερμασόγεια
Άγγελου Τερζάκη,,4191,Ύψωνας
Αγγίστης,,3112,Λεμεσός
Αγελάου,,3046,Λεμεσός
Αγήνορος,,3026,Λεμεσός
Αγήνορος,,4044,Γερμασόγεια
Αγησάνδρου,,3046,Λεμεσός
Αγησιλάου,,3087,Λεμεσός
Αγησιλάου,,4007,Μέσα Γειτονιά
Αγησιλάου,,4041,Γερμασόγεια
Αγησιλάου,,4188,Ύψωνας
Αγίας Αικατερίνης,"1 - 49, 2 - 8",3096,Λεμεσός
Αγίας Αικατερίνης,10 - τ. 51 - τ.,3100,Λεμεσός
Αγίας Αικατερίνης,,4045,Γερμασόγεια
Αγίας Αικατερίνης,,4153,Κάτω Πολεμίδια
Αγίας Αικατερίνης,,4183,Ύψωνας
Αγίας Αναστασίας,,4045,Γερμασόγεια
Αγίας Αναστασίας,,4130,Πάνω Πολεμίδια
Αγίας Αναστασίας 1η Πάροδος,,4130,Πάνω Πολεμίδια
Αγίας Αναστασίας 2η Πάροδος,,4130,Πάνω Πολεμίδια
Αγίας Αναστασίας 3η Πάροδος,,4130,Πάνω Πολεμίδια
Αγίας Αναστασίας,"1 - 19, 2 - 28",4156,Κάτω Πολεμίδια
Αγίας Αναστασίας,21 - τ. 30 - τ.,4158,Κάτω Πολεμίδια
Αγίας Αναστασίας Πάροδος,,4158,Κάτω Πολεμίδια
Αγίας Άννης,,4045,Γερμασόγεια
Αγίας Βαρβάρας,,3065,Λεμεσός
Αγίας Βαρβάρας,,4049,Γερμασόγεια
Αγίας Βερονίκης,,4150,Κάτω Πολεμίδια
Αγίας Γαλήνης,,4049,Γερμασόγεια
Αγίας Ειρήνης,,3095,Λεμεσός
Αγίας Ειρήνης,,4049,Γερμασόγεια
Αγίας Ειρήνης,,4102,'Αγιος Αθανάσιος
Αγίας Ελένης,,3067,Λεμεσός
Αγίας Ελένης,,4045,Γερμασόγεια
Αγίας Ελένης,,4186,Ύψωνας
Αγίας Ζώνης,1 - 2,3026,Λεμεσός
Αγίας Ζώνης,"3 - 53, 4 - 42",3027,Λεμεσός
Αγίας Ζώνης,44 - τ. 55 - τ.,3090,Λεμεσός
Αγίας Ζώνης,,4188,Ύψωνας
Αγίας Θέκλης,,3042,Λεμεσός
Αγίας Θέκλης,,4045,Γερμασόγεια
Αγίας Θέκλης,,4194,Ύψωνας
Αγίας Κασσιανής,,3067,Λεμεσός
Αγίας Λαύρας,,3050,Λεμεσός
Αγίας Λαύρας,,4006,Μέσα Γειτονιά
Αγίας Λαύρας,,4045,Γερμασόγεια
Αγίας Λαύρας,,4194,Ύψωνας
Αγίας Μαρίνας,,3026,Λεμεσός
Αγίας Μαρίνας,,4044,Γερμασόγεια
Αγίας Μαρίνας,,4103,'Αγιος Αθανάσιος
Αγίας Μαρίνας,,4151,Κάτω Πολεμίδια
Αγίας Μαρίνας,,4194,Ύψωνας
Αγίας Μαύρης,,4049,Γερμασόγεια
Αγίας Μαύρης,,4188,Ύψωνας
Αγίας Παρασκευής,,3091,Λεμεσός
Αγίας Παρασκευής,,4044,Γερμασόγεια
Αγίας Πετρούπολης,,3119,Λεμεσός
Αγίας Σοφίας,"1 - 77, 1 - 76",3065,Λεμεσός
Αγίας Σοφίας,78 - τ. 79 - τ.,3066,Λεμεσός
Αγίας Σοφίας,,4049,Γερμασόγεια
Αγίας Σοφίας,,4180,Ύψωνας
Αγίας Τριάδος,,3040,Λεμεσός
Αγίας Τριάδος,,4190,Ύψωνας
Αγίας Φυλάξεως,"1 - 67, 2 - 96",3025,Λεμεσός
Αγίας Φυλάξεως,"69 - 123, 98 - 154",3087,Λεμεσός
Αγίας Φυλάξεως,"125 - 173, 156 - 204",3083,Λεμεσός
Αγίας Φυλάξεως,"175 - 219, 206 - 280",3082,Λεμεσός
Αγίας Φυλάξεως,221 - τ. 282 - τ.,3116,Λεμεσός
Αγίας Φωτεινής,,4185,Ύψωνας
Αγίας Χριστίνης,,4044,Γερμασόγεια
Αγιάσματος,,4006,Μέσα Γειτονιά
Αγίδος,,3046,Λεμεσός
Αγίου Αθανασίου Λεωφόρος,"1 - 21, 2 - 20",4107,'Αγιος Αθανάσιος
Αγίου Αθανασίου Λεωφόρος,22 - τ. 23 - τ.,4102,'Αγιος Αθανάσιος
Αγίου Αθηνογένους,,4151,Κάτω Πολεμίδια
Αγίου Αμβροσίου,,4043,Γερμασόγεια
Αγίου Αμβροσίου,,4102,'Αγιος Αθανάσιος
Αγίου Ανδρέου,"1 - 241, 2 - 274",3036,Λεμεσός
Αγίου Ανδρέου,243 - τ. 276 - τ.,3035,Λεμεσός
Αγίου Ανδρέου,,4049,Γερμασόγεια
Αγίου Ανδρέου,,4194,Ύψωνας
Αγίου Ανδρονίκου,,3020,Λεμεσός
Αγίου Αντωνίου,,3042,Λεμεσός
Αγίου Αντωνίου,,4002,Μέσα Γειτονιά
Αγίου Αντωνίου,,4186,Ύψωνας
Αγίου Αρτεμίου,,3085,Λεμεσός
Αγίου Αυξεντίου,,4151,Κάτω Πολεμίδια
Αγίου Βηχιανού,,4189,Ύψωνας
Αγίου Γερασίμου,,4183,Ύψωνας
Αγίου Γεωργίου,,4045,Γερμασόγεια
Αγίου Γεωργίου,,4106,'Αγιος Αθανάσιος
Αγίου Γεωργίου,,4156,Κάτω Πολεμίδια
Αγίου Γεωργίου,"1 - 79, 2 - 76",4188,Ύψωνας
Αγίου Γεωργίου,78 - τ. 81 - τ.,4189,Ύψωνας
Αγίου Γεωργίου Πάροδος,,4188,Ύψωνας
Αγίου Δημητρίου,,3090,Λεμεσός
Αγίου Δημητρίου,,4049,Γερμασόγεια
Αγίου Δημητρίου,,4186,Ύψωνας
Αγίου Διονυσίου,,4044,Γερμασόγεια
Αγίου Ειρηνάρχου,,4158,Κάτω Πολεμίδια
Αγίου Ελευθερίου,,3012,Λεμεσός
Αγίου Ελευθερίου,,4189,Ύψωνας
Αγίου Επικτήτου,,4107,'Αγιος Αθανάσιος
Αγίου Επιφανίου,,3083,Λεμεσός
Αγίου Επιφανίου,,4189,Ύψωνας
Αγίου Ερμογένους,,4151,Κάτω Πολεμίδια
Αγίου Θεοδώρου,,4188,Ύψωνας
Αγίου Θερίσου,,4184,Ύψωνας
Αγίου Θεωνά,,4150,Κάτω Πολεμίδια
Αγίου Ιλαρίωνος,,3082,Λεμεσός
Αγίου Ιλαρίωνος,,4044,Γερμασόγεια
Αγίου Ιλαρίωνος,,4107,'Αγιος Αθανάσιος
Αγίου Ιλαρίωνος,"1 - 5, 18 - τ.",4183,Ύψωνας
Αγίου Ιλαρίωνος,2 - 16,4182,Ύψωνας
Αγίου Ιωάννου,,3016,Λεμεσός
Αγίου Ιωάννου Προδρόμου,,4002,Μέσα Γειτονιά
Αγίου Ιωάννου Χρυσοστόμου,,3087,Λεμεσός
Αγίου Ιωάννου Χρυσοστόμου,,4180,Ύψωνας
Αγίου Κορνηλίου,,3115,Λεμεσός
Αγίου Κοσμά,,4188,Ύψωνας
Αγίου Λαζάρου,,4188,Ύψωνας
Αγίου Λιανού,,4152,Κάτω Πολεμίδια
Αγίου Μάμαντος,,4102,'Αγιος Αθανάσιος
Αγίου Μάμαντος,,4188,Ύψωνας
Αγίου Μάρωνα,,3046,Λεμεσός
Αγίου Μηνά,,3066,Λεμεσός
Αγίου Μηνά,,4104,'Αγιος Αθανάσιος
Αγίου Μηνά,,4186,Ύψωνας
Αγίου Μύρωνος,,4154,Κάτω Πολεμίδια
Αγίου Νεκταρίου,,3090,Λεμεσός
Αγίου Νεκταρίου,,4194,Ύψωνας
Αγίου Νεοφύτου,,3036,Λεμεσός
Αγίου Νικήτα,,4151,Κάτω Πολεμίδια
Αγίου Νικολάου,,3025,Λεμεσός
Αγίου Νικολάου,,4156,Κάτω Πολεμίδια
Αγίου Νικολάου,,4188,Ύψωνας
Αγίου Όρους,,3066,Λεμεσός
Αγίου Όρους,,4040,Γερμασόγεια
Αγίου Όρους,,4182,Ύψωνας
Αγίου Παντελεήμονος,,3052,Λεμεσός
Αγίου Παντελεήμονος,,4003,Μέσα Γειτονιά
Αγίου Παντελεήμονος,,4102,'Αγιος Αθανάσιος
Αγίου Ραφαήλ,,3107,Λεμεσός
Αγίου Ραφαήλ,,4170,Κάτω Πολεμίδια
Αγίου Ραφαήλ,,4182,Ύψωνας
Αγίου Σεργίου,,4106,'Αγιος Αθανάσιος
Αγίου Σεργίου,,4131,Πάνω Πολεμίδια
Αγίου Σίλα,1 - τ.,4183,Ύψωνας
Αγίου Σίλα,2 - τ.,4184,Ύψωνας
Αγίου Σπυρίδωνος,,3025,Λεμεσός
Αγίου Σπυρίδωνος,,4180,Ύψωνας
Αγίου Στεφάνου,,4189,Ύψωνας
Αγίου Στυλιανού,,4189,Ύψωνας
Αγίου Συνεσίου,,4151,Κάτω Πολεμίδια
Αγίου Σωζομένου,,4151,Κάτω Πολεμίδια
Αγίου Φανουρίου,,3118,Λεμεσός
Αγίου Φανουρίου,,4002,Μέσα Γειτονιά
Αγίου Φανουρίου,,4103,'Αγιος Αθανάσιος
Αγίου Φίλωνος,,4102,'Αγιος Αθανάσιος
Αγίου Φωτίου,,3117,Λεμεσός
Αγίου Χαραλάμπους,,3050,Λεμεσός
Αγίων Αναργύρων,,3083,Λεμεσός
Αγίων Αναργύρων,,4003,Μέσα Γειτονιά
Αγίων Αναργύρων,,4157,Κάτω Πολεμίδια
Αγίων Αναργύρων,,4189,Ύψωνας
Αγίων Θεοδώρων,,4102,'Αγιος Αθανάσιος
Αγίων Θεοφανίων,,4151,Κάτω Πολεμίδια
Αγίων Πάντων,,3016,Λεμεσός
Αγκύλης,,3112,Λεμεσός
Άγκυρας,,3042,Λεμεσός
Αγνάντων,,3112,Λεμεσός
Αγνοουμένων Λεωφόρος,,4044,Γερμασόγεια
Αγοράς,,3056,Λεμεσός
Άγρας,,3046,Λεμεσός
Άγρας,,4040,Γερμασόγεια
Αγραύλου,,3065,Λεμεσός
Αγράφων,,3046,Λεμεσός
Αγράφων,,4003,Μέσα Γειτονιά
Αγριδακίου,,4007,Μέσα Γειτονιά
Αγρινίου,,3066,Λεμεσός
Αγρίππα,,3061,Λεμεσός
Αγχινόης,,3061,Λεμεσός
Αγχίστου,,3048,Λεμεσός
Αδαμαντίου Αδαμαντίου,,4152,Κάτω Πολεμίδια
Αδαμαντίου Διαμαντή,,3046,Λεμεσός
Αδαμαντίου Διαμαντή,,4107,'Αγιος Αθανάσιος
Αδαμαντίου Κοραή,,3032,Λεμεσός
Αδαμαντίου Κοραή,,4046,Γερμασόγεια
Αδαμαντίου Κοραή,,4186,Ύψωνας
Αδάμου Σοφοκλέους,,4107,'Αγιος Αθανάσιος
Άδας,,4150,Κάτω Πολεμίδια
Αδελφής Τερέζας,,3120,Λεμεσός
Αδίτης,,3051,Λεμεσός
Αδμήτου,,3046,Λεμεσός
Αδράστου,,3115,Λεμεσός
Αδριανού,,3012,Λεμεσός
Αδριανουπόλεως,,4003,Μέσα Γειτονιά
Αδώνιδος,,3065,Λεμεσός
Αερόπης,,4152,Κάτω Πολεμίδια
Αετίωνος,,3115,Λεμεσός
Αετίωνος,,3047,Λεμεσός
Αετών,,3047,Λεμεσός
Αετών,,4105,'Αγιος Αθανάσιος
Αζαλέας,,3110,Λεμεσός
Αζαλέας,,4043,Γερμασόγεια
Αηδονίων,,3047,Λεμεσός
Αθάμαντος,,3100,Λεμεσός
Αθάμαντος,,4154,Κάτω Πολεμίδια
Αθανάση Γεωργίου,,3117,Λεμεσός
Αθανάση Παλλάκη,,3120,Λεμεσός
Αθανασίου Διάκου,,3032,Λεμεσός
Αθανασίου Διάκου,,4000,Μέσα Γειτονιά
Αθανασίου Διάκου,,4151,Κάτω Πολεμίδια
Αθανασίου Διάκου,,4194,Ύψωνας
Αθανασίου Καρπενησιώτη,,4156,Κάτω Πολεμίδια
Αθανασίου Σακελλαρίου,,3041,Λεμεσός
Αθανασίου Σκιαδά,,3055,Λεμεσός
Αθανασίου Τσακάλωφ,,3052,Λεμεσός
Αθανασίου Τσακάλωφ,,3083,Λεμεσός
Αθανασίου Τσακάλωφ,,4187,Ύψωνας
Αθανασίου Χριστοπούλου,,4002,Μέσα Γειτονιά
Αθηναΐδος Λανίτου,"1 - 3, 2 - 6",3025,Λεμεσός
Αθηναΐδος Λανίτου,5 - τ. 8 - τ.,3022,Λεμεσός
Αθηναίου Θρασυβούλου,,4155,Κάτω Πολεμίδια
Αθηνάς,,4045,Γερμασόγεια
Αθηνάς,,4105,'Αγιος Αθανάσιος
Αθηνάς,,4182,Ύψωνας
Αθηνάς Ταρσούλη,,3083,Λεμεσός
Αθηνάς Ταρσούλη,,4152,Κάτω Πολεμίδια
Αθηνογένους,,3048,Λεμεσός
Αθηνοκλέους,,4153,Κάτω Πολεμίδια
Αθηνών,"1 - 41, 2 - 72",3041,Λεμεσός
Αθηνών,43 - τ. 74 - τ.,3040,Λεμεσός
Αθηνών,,4181,Ύψωνας
Άθω,,3047,Λεμεσός
Άθω,,4040,Γερμασόγεια
Αιακού,,3082,Λεμεσός
Αίαντος,,3056,Λεμεσός
Αιγαίου,,3065,Λεμεσός
Αιγαίου,,4186,Ύψωνας
Αιγάλεω,,3115,Λεμεσός
Αιγέως,,3081,Λεμεσός
Αιγέως,,4046,Γερμασόγεια
Αιγιαλούσης,,3071,Λεμεσός
Αιγιαλούσης,,4102,'Αγιος Αθανάσιος
Αιγιαλούσης,,4130,Πάνω Πολεμίδια
Αιγιαλούσης,,4185,Ύψωνας
Αιγίδος,,4150,Κάτω Πολεμίδια
Αιγίνης,,3052,Λεμεσός
Αιγίνης,,4040,Γερμασόγεια
Αιγίνης,,4189,Ύψωνας
Αιγίσθου,,4170,Κάτω Πολεμίδια
Αίγλης,,3090,Λεμεσός
Αιγύπτου,,3087,Λεμεσός
Αιγύπτου,,4187,Ύψωνας
Αιδηψού,,3095,Λεμεσός
Αίθρας,,4150,Κάτω Πολεμίδια
Αικατερίνης,,3117,Λεμεσός
Αικατερίνης Κορνάρο,,3065,Λεμεσός
Αιμιλίου Βεάκη,,3010,Λεμεσός
Αιμιλίου Ζολά,,3115,Λεμεσός
Αιμιλίου Φράγκου,,3120,Λεμεσός
Αιμιλίου Χουρμούζιου,,3035,Λεμεσός
Αιμιλίου Χουρμούζιου,,4104,'Αγιος Αθανάσιος
Αίμου,,3115,Λεμεσός
Αίμου,,4104,'Αγιος Αθανάσιος
Αινείου,,3100,Λεμεσός
Αινείου,,4041,Γερμασόγεια
Αινείου,,4189,Ύψωνας
Αίνου,,3045,Λεμεσός
Αιόλου,,3020,Λεμεσός
Αιόλου,,4041,Γερμασόγεια
Αιόλου,,4106,'Αγιος Αθανάσιος
Αιόλου,,4190,Ύψωνας
Αιπείας,,3021,Λεμεσός
Αισάκου,,4151,Κάτω Πολεμίδια
Αισχίνου,,3051,Λεμεσός
Αισχύλου,,3096,Λεμεσός
Αισχύλου,,4005,Μέσα Γειτονιά
Αισχύλου,,4041,Γερμασόγεια
Αισχύλου,,4187,Ύψωνας
Αισώπου,,3100,Λεμεσός
Αισώπου,,4044,Γερμασόγεια
Αισώπου,,4190,Ύψωνας
Αίτνας,,3118,Λεμεσός
Αιτωλίας,,3048,Λεμεσός
Αιτωλίας,,4184,Ύψωνας
Αιτωλών,,4102,'Αγιος Αθανάσιος
Ακ Σεχίρ,,3017,Λεμεσός
Ακαδημίας,,3076,Λεμεσός
Ακάδημου,,4150,Κάτω Πολεμίδια
Ακακίου,,4153,Κάτω Πολεμίδια
Ακάμαντος,,3016,Λεμεσός
Ακανθούς,,3082,Λεμεσός
Ακανθούς,,4186,Ύψωνας
Ακαρνανίας,,3118,Λεμεσός
Ακαρνανίας,,4042,Γερμασόγεια
Άκη Παπαϊωάννου,,4105,'Αγιος Αθανάσιος
Ακρισίου,,4150,Κάτω Πολεμίδια
Ακροπόλεως,,3013,Λεμεσός
Ακροπόλεως,,4105,'Αγιος Αθανάσιος
Ακροπόλεως,,4182,Ύψωνας
Ακταίου,,3013,Λεμεσός
Ακταίου,,4046,Γερμασόγεια
Ακτίνου,,4046,Γερμασόγεια
Ακτίνορος,,4040,Γερμασόγεια
Αλαμάνας,,3090,Λεμεσός
Αλαμάνας,,4045,Γερμασόγεια
Αλαμάνας,,4194,Ύψωνας
Αλασίας,,3095,Λεμεσός
Αλάσκας,,3046,Λεμεσός
Αλβέρτου Αϊνστάιν,,3012,Λεμεσός
Αλβέρτου Σβάιτσερ,,3015,Λεμεσός
Άλδου Μανούτιου,,4158,Κάτω Πολεμίδια
Αλεβίζου Τάσσου,,3046,Λεμεσός
Αλέκου Αλεξανδράκη,,3110,Λεμεσός
Αλέκου Ζήνωνος,,3035,Λεμεσός
Αλέκου Κωνσταντίνου,,3115,Λεμεσός
Αλέκου Σακελλάριου,,3046,Λεμεσός
Αλέκου Σακελλάριου,,4152,Κάτω Πολεμίδια
Αλεξανδρείας,,3013,Λεμεσός
Αλεξανδρείας,,4102,'Αγιος Αθανάσιος
Αλεξάνδρου Δελμούζου,,3115,Λεμεσός
Αλεξάνδρου Κουμουνδούρου,,4008,Μέσα Γειτονιά
Αλεξάνδρου Μαυροκορδάτου,"1 - 55, 2 - 64",3116,Λεμεσός
Αλεξάνδρου Μαυροκορδάτου,57 - τ. 66 - τ.,3115,Λεμεσός
Αλεξάνδρου Μαυροκορδάτου,,4045,Γερμασόγεια
Αλεξάνδρου Μαυροκορδάτου,,4194,Ύψωνας
Αλεξάνδρου Μωραϊτίδη,,3021,Λεμεσός
Αλεξάνδρου Παναγούλη,,3087,Λεμεσός
Αλεξάνδρου Παναγούλη,,4106,'Αγιος Αθανάσιος
Αλεξάνδρου Παπαδιαμάντη,,3085,Λεμεσός
Αλεξάνδρου Παπαδιαμάντη,,4046,Γερμασόγεια
Αλεξάνδρου Παπαδιαμάντη,,4105,'Αγιος Αθανάσιος
Αλεξάνδρου Παπαδιαμάντη,"1 - 31, 2 - 30",4193,Ύψωνας
Αλεξάνδρου Παπαδιαμάντη,32 - τ. 33 - τ.,4194,Ύψωνας
Αλεξάνδρου Πούσκιν,,3012,Λεμεσός
Αλεξάνδρου Σούτσου,,4002,Μέσα Γειτονιά
Αλεξάνδρου Υψηλάντη,,3107,Λεμεσός
Αλεξάνδρου Υψηλάντη,,4191,Ύψωνας
Αλεξάνδρου Φλέμιγκ,,3012,Λεμεσός
Αλεξέϊ Λεόνοφ,,4106,'Αγιος Αθανάσιος
Αλέξη Μινωτή,,4103,'Αγιος Αθανάσιος
Αλεξίου Δημαρά,,4152,Κάτω Πολεμίδια
Αλή Ιχσάν Καλμάζ,,3012,Λεμεσός
Αλθαίας,,3110,Λεμεσός
Αλιάκμονος,,3117,Λεμεσός
Αλιάκμονος,,4043,Γερμασόγεια
Αλικαρνασσού,,4003,Μέσα Γειτονιά
Αλίκης Βουγιουκλάκη,,3117,Λεμεσός
Αλιμνιάς,,3048,Λεμεσός
Αλκαίου,,3090,Λεμεσός
Αλκαίου,,4046,Γερμασόγεια
Αλκαμένους,,3085,Λεμεσός
Αλκήστιδος,,3112,Λεμεσός
Αλκήστιδος,,4046,Γερμασόγεια
Αλκιβιάδους,,3066,Λεμεσός
Αλκιδάμαντος,,4101,'Αγιος Αθανάσιος
Αλκίμου,,3083,Λεμεσός
Αλκινόου,,3087,Λεμεσός
Αλκινόου,,4046,Γερμασόγεια
Αλκμήνης,,3113,Λεμεσός
Αλκμήνης,,4042,Γερμασόγεια
Αλκυόνης,,3087,Λεμεσός
Αλόης,,3110,Λεμεσός
Αλοννήσου,,3096,Λεμεσός
Άλπεων,,3015,Λεμεσός
Άλπεων,,4193,Ύψωνας
Άλπρεκτ Ντούρερ,,3046,Λεμεσός
Άλυος,,4046,Γερμασόγεια
Αλφειού,,3060,Λεμεσός
Αλφειού,,4042,Γερμασόγεια
Αλφόνσου Λαβεράν,,3051,Λεμεσός
Αλφρέδου Κρουαζέ,,3011,Λεμεσός
Αμαζονίου,,4041,Γερμασόγεια
Αμαζόνων,,3101,Λεμεσός
Αμαθούντος,,3105,Λεμεσός
Αμαθούντος,,4005,Μέσα Γειτονιά
Αμαθούντος,,4180,Ύψωνας
Αμαλθείας,,3015,Λεμεσός
Αμαλιάδος,,4007,Μέσα Γειτονιά
Αμαλιάδος,,4103,'Αγιος Αθανάσιος
Αμαράντης Σιήττα,,3118,Λεμεσός
Αμαρυλλίδος,,3110,Λεμεσός
Αμβρακικού,,3118,Λεμεσός
Αμερικάνας,,4048,Γερμασόγεια
Αμερικής,,3012,Λεμεσός
Άμιλλας,,3116,Λεμεσός
Αμισού,,3087,Λεμεσός
Αμμοχώστου,"1 - 11, 2 - 8",3021,Λεμεσός
Αμμοχώστου,10 - τ. 13 - τ.,3075,Λεμεσός
Αμμοχώστου,,4045,Γερμασόγεια
Αμμοχώστου,,4107,'Αγιος Αθανάσιος
Αμμοχώστου,,4187,Ύψωνας
Αμοργού,,3047,Λεμεσός
Αμοργού,,4044,Γερμασόγεια
Αμούδσεν,,3087,Λεμεσός
Αμπελακίων,,4046,Γερμασόγεια
Αμπελακίων,,4151,Κάτω Πολεμίδια
Αμπελακίων,,4194,Ύψωνας
Άμστερνταμ,,3083,Λεμεσός
Αμυγδαλιάς,,3112,Λεμεσός
Αμυγδαλιάς,,4007,Μέσα Γειτονιά
Αμύκου,,4159,Κάτω Πολεμίδια
Αμύντα,,4159,Κάτω Πολεμίδια
Αμφικτύωνος,,4046,Γερμασόγεια
Αμφιλοχίας,,3113,Λεμεσός
Αμφίονος,,3083,Λεμεσός
Αμφιπόλεως,,3026,Λεμεσός
Αμφίσσης,,3071,Λεμεσός
Αμφίσσης,,4189,Ύψωνας
Αμφιτρίτης,,3075,Λεμεσός
Αμφιτρίτης,,4042,Γερμασόγεια
Αμφιτρίωνος Υδραίου,,3022,Λεμεσός
Αναγεννήσεως,,3052,Λεμεσός
Αναγεννήσεως,,4105,'Αγιος Αθανάσιος
Αναγνωσταρά,,3076,Λεμεσός
Αναγνωσταρά,,4154,Κάτω Πολεμίδια
Αναγνωσταρά,,4191,Ύψωνας
Αναγνωσταρά Πάροδος,,4154,Κάτω Πολεμίδια
Ανακρέοντος,,3091,Λεμεσός
Ανακρέοντος,,4154,Κάτω Πολεμίδια
Αναλήψεως,,4154,Κάτω Πολεμίδια
Αναλήψεως,,4189,Ύψωνας
Αναξαγόρου,,3087,Λεμεσός
Αναξαγόρου,,4046,Γερμασόγεια
Αναξίμανδρου,,3113,Λεμεσός
Αναξιμένους,,3061,Λεμεσός
Αναπαύσεως,,3096,Λεμεσός
Αναπήρων Πολέμου,,3113,Λεμεσός
Αναπτύξεως,,3055,Λεμεσός
Αναστάσεως,,4154,Κάτω Πολεμίδια
Αναστάσεως,,4194,Ύψωνας
Αναστάση Ανδρέου,,3081,Λεμεσός
Αναστάση Σιούκρη,,3035,Λεμεσός
Αναστασίου Σιούκρη,,3105,Λεμεσός
Αναστασίου Αρβανίτη,,4158,Κάτω Πολεμίδια
Αναστασίου Λεβέντη,,3117,Λεμεσός
Αναστασίου Σιαμμά,,4105,'Αγιος Αθανάσιος
Αναστασίου Τσαμαδού,,4187,Ύψωνας
Ανατόλ Φράνς,,3115,Λεμεσός
Ανατολής,,4106,'Αγιος Αθανάσιος
Αναφακταλάρ,,3042,Λεμεσός
Ανάφης,,3047,Λεμεσός
Άνδεων,,3055,Λεμεσός
Ανδοκίδου,,3113,Λεμεσός
Ανδοκίδου,,4046,Γερμασόγεια
Ανδοκίδου,,4150,Κάτω Πολεμίδια
Ανδρέα Αβρααμίδη,,3111,Λεμεσός
Ανδρέα Αραούζου,,3056,Λεμεσός
Ανδρέα Αραούζου,,4150,Κάτω Πολεμίδια
Ανδρέα Αρμεύτη,,3080,Λεμεσός
Ανδρέα Αρμεύτη,,4106,'Αγιος Αθανάσιος
Ανδρέα Αχιλλείδη,,3046,Λεμεσός
Ανδρέα Βλάμη,,3041,Λεμεσός
Ανδρέα Βλάμη,,4003,Μέσα Γειτονιά
Ανδρέα Βλάμη,,4194,Ύψωνας
Ανδρέα Γερούδη,,4002,Μέσα Γειτονιά
Ανδρέα Γεωργίου,,3065,Λεμεσός
Ανδρέα Γεωργίου,,4045,Γερμασόγεια
Ανδρέα Γεωργίου,,4108,'Αγιος Αθανάσιος
Ανδρέα Δημητρίου,,3032,Λεμεσός
Ανδρέα Δημητρίου,,4000,Μέσα Γειτονιά
Ανδρέα Δημητρίου,,4045,Γερμασόγεια
Ανδρέα Δημητρίου,,4108,'Αγιος Αθανάσιος
Ανδρέα Δημητρίου,,4191,Ύψωνας
Ανδρέα Δρουσιώτη,,3040,Λεμεσός
